BP,VMP,ORIGINAL
1.0,1.0,0.9990234375
0.9990234375,1.0,0.986328125
1.0,1.0,0.9873046875
1.0,1.0,0.98828125
0.9990234375,0.9990234375,0.9140625
1.0,1.0,0.7109375
0.9990234375,1.0,0.98828125
1.0,1.0,0.9990234375
1.0,1.0,0.9873046875
1.0,1.0,0.6162109375
1.0,1.0,1.0
1.0,0.9990234375,0.984375
0.9990234375,1.0,0.8662109375
0.998046875,1.0,0.9931640625
0.9990234375,1.0,0.9921875
1.0,1.0,0.9912109375
1.0,1.0,0.9013671875
1.0,1.0,0.9658203125
1.0,1.0,0.9462890625
1.0,1.0,0.958984375
0.9990234375,0.9990234375,0.82421875
1.0,1.0,0.98828125
0.9990234375,0.9990234375,0.951171875
1.0,0.998046875,0.9677734375
0.9990234375,0.9990234375,0.984375
1.0,1.0,0.9228515625
0.9970703125,1.0,0.9638671875
0.9951171875,0.982421875,0.9638671875
1.0,1.0,0.9482421875
1.0,0.9990234375,0.998046875
1.0,1.0,0.9912109375
1.0,0.9990234375,0.890625
1.0,0.9990234375,0.9345703125
1.0,0.9990234375,0.763671875
1.0,0.9990234375,0.9853515625
1.0,1.0,0.8349609375
1.0,1.0,0.9951171875
1.0,1.0,0.98828125
1.0,0.9990234375,0.9931640625
1.0,1.0,0.998046875
0.9990234375,1.0,0.9482421875
0.99609375,0.9990234375,0.880859375
1.0,1.0,0.2001953125
1.0,1.0,0.99609375
1.0,1.0,0.99609375
1.0,0.9990234375,0.9951171875
1.0,1.0,1.0
0.9990234375,1.0,0.974609375
0.9990234375,0.9990234375,0.9970703125
1.0,1.0,0.98828125
1.0,1.0,1.0
1.0,1.0,0.990234375
1.0,1.0,0.9990234375
1.0,1.0,0.9892578125
0.9990234375,0.998046875,0.853515625
1.0,1.0,0.859375
1.0,1.0,0.953125
1.0,1.0,0.998046875
1.0,1.0,0.9794921875
1.0,1.0,0.99609375
1.0,0.9990234375,0.9951171875
1.0,1.0,0.99609375
1.0,1.0,0.9990234375
1.0,1.0,0.9892578125
1.0,0.998046875,0.9111328125
1.0,1.0,0.998046875
1.0,0.9990234375,0.984375
1.0,1.0,0.9228515625
1.0,1.0,0.9892578125
0.9990234375,1.0,0.9443359375
1.0,0.998046875,0.96484375
1.0,1.0,0.939453125
1.0,1.0,0.966796875
1.0,1.0,0.978515625
0.9990234375,0.9990234375,0.98046875
1.0,0.9990234375,0.908203125
1.0,1.0,0.8603515625
0.994140625,1.0,0.9970703125
1.0,1.0,0.990234375
1.0,1.0,0.98828125
1.0,1.0,0.984375
1.0,0.9990234375,0.8369140625
1.0,1.0,0.986328125
1.0,0.9970703125,0.8857421875
1.0,1.0,1.0
1.0,1.0,0.96484375
1.0,0.9990234375,0.9931640625
1.0,1.0,0.99609375
1.0,1.0,0.970703125
1.0,1.0,0.8310546875
1.0,1.0,0.8603515625
1.0,1.0,0.990234375
1.0,1.0,0.9912109375
1.0,1.0,1.0
1.0,1.0,0.98828125
